Type,Price,Sqm Price,Size,Living Area,Ground Area,Rooms,Ownership Expense,Year Built,Story,Energy Label,Longitude,Latitude,ZipCode,Drop_Rate,Age of Building,Price_W_Drop_Rate,Town
Ejerlejlighed,4.895.000,67.986,72,56,,3,3.153,1974, 4, D,,,1300,0,48,4.895.000,København K
Ejerlejlighed,3.750.000,52.083,72,56,,2,3.268,1974, 5, D,,,1300,8,48,3.450.000,København K
Ejerlejlighed,4.195.000,74.910,56,50,,2,1.868,1957, 5,,12.584743,55.684913,1302,0,65,4.195.000,København K
Ejerlejlighed,5.245.000,66.392,79,72,,2,2.678,1957, 4,,,,1302,5,65,4.982.750,København K
Ejerlejlighed,2.745.000,63.837,43,35,,1,1.344,1957,0,,12.585416,55.684729,1302,0,65,2.745.000,København K
Ejerlejlighed,3.395.000,69.285,49,43,,1,1.500,1957, 4,,,,1302,0,65,3.395.000,København K
Ejerlejlighed,3.800.000,64.406,59,53,,2,2.403,1957, 1,,12.584743,55.684913,1302,0,65,3.800.000,København K
Ejerlejlighed,3.995.000,68.879,58,53,,2,1.956,1957, 5,,,,1302,0,65,3.995.000,København K
Ejerlejlighed,3.295.000,58.839,56,50,,1,2.606,1943, 2,,,,1302,0,79,3.295.000,København K
Ejerlejlighed,2.995.000,57.596,52,43,,1,1.537,1956, 2,,,,1302,11,66,2.665.550,København K
Ejerlejlighed,5.450.000,89.344,61,55,,2,3.127,1780, 2, C,12.58788,55.683703,1302,0,242,5.450.000,København K
Ejerlejlighed,5.495.000,66.204,83,74,,3,2.712,1957, 3,,12.584943,55.684858,1302,5,65,5.220.250,København K
Ejerlejlighed,5.295.000,64.573,82,74,,3,2.719,1957, 2,,12.585416,55.684729,1302,7,65,4.924.350,København K
Ejerlejlighed,7.750.000,75.242,103,96,,4,3.881,1901, 2, D,12.588164,55.685932,1303,0,121,7.750.000,København K
